Hospital_ID,Timestamp,Shift,ER_Arrivals,Ambulance_Arrivals,General_Admissions,ICU_Admissions,ICU_Discharges,ICU_Transfers_In,ICU_Transfers_Out,ICU_Occupied_Beds,ICU_Available_Beds,ICU_Occupancy_Pct,HDU_Occupied_Beds,General_Occupied_Beds,Private_Occupied_Beds,Total_Occupied_Beds,Hospital_Occupancy_Pct,Ventilators_In_Use,Ventilators_Available,ICU_Staff_Available,Staff_Shortage_Flag,Elective_Surgeries,Event,ICU_Risk
HOSP_001,2024-01-01 00:00:00,Night,3,1,8,3,1,1,0,29,11,72.5,23,145,41,238,79.33,14,11,19,0,1,Normal Operations,MODERATE
HOSP_001,2024-01-01 01:00:00,Night,6,1,5,0,4,0,0,24,16,60.0,19,152,40,235,78.33,9,16,19,0,2,Normal Operations,LOW
HOSP_001,2024-01-01 02:00:00,Night,4,1,3,3,1,1,1,26,14,65.0,24,147,46,243,81.0,10,15,19,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 03:00:00,Night,3,1,6,0,2,0,0,24,16,60.0,22,156,43,245,81.67,14,11,18,0,3,Normal Operations,LOW
HOSP_001,2024-01-01 04:00:00,Night,3,1,3,0,1,2,0,24,16,60.0,20,154,43,241,80.33,11,14,19,0,3,Normal Operations,LOW
HOSP_001,2024-01-01 05:00:00,Night,2,0,8,0,1,0,0,23,17,57.5,18,159,46,246,82.0,10,15,19,0,0,Normal Operations,LOW
HOSP_001,2024-01-01 06:00:00,Morning,15,3,6,0,1,0,0,23,17,57.5,22,149,45,239,79.67,8,17,20,0,3,Normal Operations,LOW
HOSP_001,2024-01-01 07:00:00,Morning,7,1,5,1,0,1,0,26,14,65.0,24,150,42,242,80.67,9,16,21,0,0,Normal Operations,LOW
HOSP_001,2024-01-01 08:00:00,Morning,7,1,5,0,1,1,0,27,13,67.5,21,148,43,239,79.67,13,12,21,0,0,Normal Operations,LOW
HOSP_001,2024-01-01 09:00:00,Morning,14,2,11,1,3,0,0,25,15,62.5,17,166,42,250,83.33,12,13,22,0,3,Normal Operations,LOW
HOSP_001,2024-01-01 10:00:00,Morning,10,2,7,1,1,0,0,26,14,65.0,21,159,44,250,83.33,11,14,21,0,4,Normal Operations,LOW
HOSP_001,2024-01-01 11:00:00,Morning,14,3,6,0,1,1,0,27,13,67.5,20,163,44,254,84.67,11,14,24,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 12:00:00,Morning,9,2,10,0,3,1,2,23,17,57.5,22,158,41,244,81.33,8,17,24,0,2,Normal Operations,LOW
HOSP_001,2024-01-01 13:00:00,Morning,12,3,7,1,1,0,0,24,16,60.0,23,153,41,241,80.33,12,13,21,0,4,Normal Operations,LOW
HOSP_001,2024-01-01 14:00:00,Evening,7,1,7,0,2,0,0,23,17,57.5,21,162,43,249,83.0,9,16,23,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 15:00:00,Evening,9,1,5,0,2,1,1,22,18,55.0,21,163,43,249,83.0,8,17,22,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 16:00:00,Evening,12,2,8,0,1,0,0,21,19,52.5,21,167,45,254,84.67,8,17,21,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 17:00:00,Evening,7,1,5,0,3,1,0,19,21,47.5,23,153,45,240,80.0,9,16,22,0,2,Normal Operations,LOW
HOSP_001,2024-01-01 18:00:00,Evening,8,2,11,2,1,2,2,20,20,50.0,22,155,42,239,79.67,9,16,21,0,2,Normal Operations,LOW
HOSP_001,2024-01-01 19:00:00,Evening,7,1,7,2,3,0,0,19,21,47.5,21,152,41,233,77.67,7,18,22,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 20:00:00,Evening,6,1,8,0,0,1,0,20,20,50.0,28,148,46,242,80.67,9,16,19,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 21:00:00,Evening,4,1,7,2,0,0,0,22,18,55.0,19,154,41,236,78.67,8,17,18,0,1,Normal Operations,LOW
HOSP_001,2024-01-01 22:00:00,Night,7,1,9,1,2,0,0,20,20,50.0,19,154,45,238,79.33,9,16,18,0,2,Normal Operations,LOW
HOSP_001,2024-01-01 23:00:00,Night,5,1,6,0,1,0,0,19,21,47.5,21,145,44,229,76.33,9,16,18,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 00:00:00,Night,5,1,7,1,1,2,1,20,20,50.0,18,152,35,225,75.0,6,19,19,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 01:00:00,Night,1,0,5,1,2,1,0,20,20,50.0,18,141,43,222,74.0,9,16,20,0,1,Normal Operations,LOW
HOSP_001,2024-01-02 02:00:00,Night,3,0,2,0,2,0,0,18,22,45.0,22,149,45,234,78.0,8,17,19,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 03:00:00,Night,3,0,2,0,1,0,2,15,25,37.5,19,151,41,226,75.33,8,17,17,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 04:00:00,Night,3,1,3,0,3,1,0,13,27,32.5,21,145,40,219,73.0,6,19,20,0,0,Normal Operations,LOW
HOSP_001,2024-01-02 05:00:00,Night,3,1,7,1,2,1,1,12,28,30.0,19,143,41,215,71.67,5,20,17,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 06:00:00,Morning,3,0,1,0,3,0,0,12,28,30.0,19,147,41,219,73.0,4,21,20,0,3,Normal Operations,LOW
HOSP_001,2024-01-02 07:00:00,Morning,4,1,5,2,2,0,0,12,28,30.0,19,136,45,212,70.67,5,20,20,0,0,Normal Operations,LOW
HOSP_001,2024-01-02 08:00:00,Morning,5,1,10,2,4,1,3,12,28,30.0,17,150,44,223,74.33,5,20,22,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 09:00:00,Morning,4,1,9,0,2,0,1,12,28,30.0,19,149,40,220,73.33,3,22,23,0,3,Normal Operations,LOW
HOSP_001,2024-01-02 10:00:00,Morning,9,2,5,1,2,0,1,12,28,30.0,18,159,39,228,76.0,5,20,21,0,2,Normal Operations,LOW
HOSP_001,2024-01-02 11:00:00,Morning,1,0,4,0,1,0,0,12,28,30.0,17,137,43,209,69.67,5,20,22,0,4,Normal Operations,LOW
