Date,Medicine_ID,Medicine_Name,Category,Criticality,Consumed_Units
2024-01-01,MED001,Paracetamol,Analgesic,ESSENTIAL,93
2024-01-02,MED001,Paracetamol,Analgesic,ESSENTIAL,107
2024-01-03,MED001,Paracetamol,Analgesic,ESSENTIAL,106
2024-01-04,MED001,Paracetamol,Analgesic,ESSENTIAL,113
2024-01-05,MED001,Paracetamol,Analgesic,ESSENTIAL,98
2024-01-06,MED001,Paracetamol,Analgesic,ESSENTIAL,86
2024-01-07,MED001,Paracetamol,Analgesic,ESSENTIAL,69
2024-01-08,MED001,Paracetamol,Analgesic,ESSENTIAL,110
2024-01-09,MED001,Paracetamol,Analgesic,ESSENTIAL,97
2024-01-10,MED001,Paracetamol,Analgesic,ESSENTIAL,93
2024-01-11,MED001,Paracetamol,Analgesic,ESSENTIAL,94
2024-01-12,MED001,Paracetamol,Analgesic,ESSENTIAL,104
2024-01-13,MED001,Paracetamol,Analgesic,ESSENTIAL,87
2024-01-14,MED001,Paracetamol,Analgesic,ESSENTIAL,81
2024-01-15,MED001,Paracetamol,Analgesic,ESSENTIAL,91
2024-01-16,MED001,Paracetamol,Analgesic,ESSENTIAL,104
2024-01-17,MED001,Paracetamol,Analgesic,ESSENTIAL,87
2024-01-18,MED001,Paracetamol,Analgesic,ESSENTIAL,94
2024-01-19,MED001,Paracetamol,Analgesic,ESSENTIAL,93
2024-01-20,MED001,Paracetamol,Analgesic,ESSENTIAL,87
2024-01-21,MED001,Paracetamol,Analgesic,ESSENTIAL,105
2024-01-22,MED001,Paracetamol,Analgesic,ESSENTIAL,106
2024-01-23,MED001,Paracetamol,Analgesic,ESSENTIAL,98
2024-01-24,MED001,Paracetamol,Analgesic,ESSENTIAL,105
2024-01-25,MED001,Paracetamol,Analgesic,ESSENTIAL,89
2024-01-26,MED001,Paracetamol,Analgesic,ESSENTIAL,84
2024-01-27,MED001,Paracetamol,Analgesic,ESSENTIAL,76
2024-01-28,MED001,Paracetamol,Analgesic,ESSENTIAL,80
2024-01-29,MED001,Paracetamol,Analgesic,ESSENTIAL,105
2024-01-30,MED001,Paracetamol,Analgesic,ESSENTIAL,108
2024-01-31,MED001,Paracetamol,Analgesic,ESSENTIAL,98
2024-02-01,MED001,Paracetamol,Analgesic,ESSENTIAL,95
2024-02-02,MED001,Paracetamol,Analgesic,ESSENTIAL,87
2024-02-03,MED001,Paracetamol,Analgesic,ESSENTIAL,97
2024-02-04,MED001,Paracetamol,Analgesic,ESSENTIAL,97
2024-02-05,MED001,Paracetamol,Analgesic,ESSENTIAL,92
2024-02-06,MED001,Paracetamol,Analgesic,ESSENTIAL,90
2024-02-07,MED001,Paracetamol,Analgesic,ESSENTIAL,98
