Month,Medicine_ID,Medicine_Name,Category,Criticality,Opening_Stock,Consumed_Units,Restocked_Units,Current_Stock,Average_Daily_Usage,Lead_Time_Days,Minimum_Stock,Expiry_Date,Days_of_Stock_Remaining,Stock_Status,Stockout_Risk,Days_to_Expiry,Expiry_Risk,Pharmacy_Risk_Score,Pharmacy_Risk_Level
2025-12-01,MED001,Paracetamol,Analgesic,ESSENTIAL,2521,1013,1022,2530,32.68,9,441,2027-09-20,77.41738066095472,ADEQUATE,LOW,363,LOW,0,LOW
2025-12-01,MED002,Ceftriaxone,Antibiotic,CRITICAL,1535,738,812,1609,23.81,4,142,2027-05-31,67.57664846703067,ADEQUATE,LOW,251,LOW,2,MODERATE
2025-12-01,MED003,Meropenem,Antibiotic,CRITICAL,3073,1540,1725,3258,49.68,6,447,2026-12-01,65.57971014492753,ADEQUATE,LOW,70,MODERATE,3,MODERATE
2025-12-01,MED004,Amoxicillin,Antibiotic,ESSENTIAL,1362,627,657,1392,20.23,5,151,2026-12-28,68.80869995056847,ADEQUATE,LOW,97,LOW,0,LOW
2025-12-01,MED005,Azithromycin,Antibiotic,ESSENTIAL,903,675,680,908,21.77,7,228,2028-03-18,41.70877354157097,ADEQUATE,LOW,543,LOW,0,LOW
2025-12-01,MED006,Pantoprazole,Gastro,ESSENTIAL,1810,664,746,1892,21.42,6,192,2028-07-19,88.32866479925303,ADEQUATE,LOW,666,LOW,0,LOW
2025-12-01,MED007,Ondansetron,Antiemetic,ESSENTIAL,969,242,257,984,7.81,8,93,2028-07-04,125.99231754161332,ADEQUATE,LOW,651,LOW,0,LOW
2025-12-01,MED008,Insulin,Diabetes,CRITICAL,1532,519,592,1605,16.74,3,75,2028-06-10,95.87813620071685,ADEQUATE,LOW,627,LOW,2,MODERATE
2025-12-01,MED009,Heparin,Anticoagulant,CRITICAL,4073,1940,1974,4107,62.58,5,469,2028-07-14,65.62799616490892,ADEQUATE,LOW,661,LOW,2,MODERATE
2025-12-01,MED010,Enoxaparin,Anticoagulant,CRITICAL,1682,869,923,1736,28.03,5,210,2027-02-25,61.93364252586514,ADEQUATE,LOW,156,LOW,2,MODERATE
2025-12-01,MED011,Furosemide,Diuretic,ESSENTIAL,3949,1261,1527,4215,40.68,9,549,2027-07-03,103.61356932153393,ADEQUATE,LOW,284,LOW,0,LOW
2025-12-01,MED012,Dopamine,Emergency,CRITICAL,3820,1535,1790,4075,49.52,6,445,2028-09-15,82.28998384491115,ADEQUATE,LOW,724,LOW,2,MODERATE
2025-12-01,MED013,Norepinephrine,Emergency,CRITICAL,2906,1024,1082,2964,33.03,5,247,2026-11-06,89.73660308810172,ADEQUATE,LOW,45,MODERATE,3,MODERATE
2025-12-01,MED014,Midazolam,Sedative,CRITICAL,4159,1511,1680,4328,48.74,4,292,2028-02-10,88.79770209273697,ADEQUATE,LOW,506,LOW,2,MODERATE
2025-12-01,MED015,Propofol,Anaesthetic,CRITICAL,3840,1500,1827,4167,48.39,2,145,2026-12-22,86.1128332300062,ADEQUATE,LOW,91,LOW,2,MODERATE
2025-12-01,MED016,Salbutamol,Respiratory,ESSENTIAL,3002,1626,1625,3001,52.45,5,393,2027-12-27,57.21639656816015,ADEQUATE,LOW,461,LOW,0,LOW
2025-12-01,MED017,Atorvastatin,Cardiac,DESIRABLE,1319,496,517,1340,16.0,10,240,2028-08-21,83.75,ADEQUATE,LOW,699,LOW,0,LOW
2025-12-01,MED018,Metformin,Diabetes,ESSENTIAL,1769,708,689,1750,22.84,3,102,2027-07-16,76.6199649737303,ADEQUATE,LOW,297,LOW,0,LOW
2025-12-01,MED019,Aspirin,Cardiac,ESSENTIAL,3432,1472,1644,3604,47.48,7,498,2026-11-25,75.90564448188711,ADEQUATE,LOW,64,MODERATE,1,LOW
2025-12-01,MED020,Clopidogrel,Cardiac,ESSENTIAL,3124,843,882,3163,27.19,4,163,2028-05-19,116.32953291651341,ADEQUATE,LOW,605,LOW,0,LOW
2025-12-01,MED021,Vancomycin,Antibiotic,CRITICAL,2454,967,1023,2510,31.19,3,140,2028-02-27,80.47451106123758,ADEQUATE,LOW,523,LOW,2,MODERATE
2025-12-01,MED022,Piperacillin-Tazobactam,Antibiotic,CRITICAL,2251,683,849,2417,22.03,2,66,2028-05-05,109.7140263277349,ADEQUATE,LOW,591,LOW,2,MODERATE
2025-12-01,MED023,Linezolid,Antibiotic,CRITICAL,2071,621,630,2080,20.03,6,180,2028-02-02,103.8442336495257,ADEQUATE,LOW,498,LOW,2,MODERATE
2025-12-01,MED024,Dexamethasone,Steroid,ESSENTIAL,974,354,432,1052,11.42,6,102,2028-08-12,92.11908931698774,ADEQUATE,LOW,690,LOW,0,LOW
2025-12-01,MED025,Hydrocortisone,Steroid,ESSENTIAL,2552,1024,1139,2667,33.03,6,297,2027-09-11,80.7447774750227,ADEQUATE,LOW,354,LOW,0,LOW
2025-12-01,MED026,Lidocaine,Emergency,ESSENTIAL,2140,1077,1256,2319,34.74,7,364,2027-08-21,66.75302245250431,ADEQUATE,LOW,333,LOW,0,LOW
2025-12-01,MED027,Adrenaline,Emergency,CRITICAL,3986,1569,1861,4278,50.61,3,227,2027-07-24,84.52874925903971,ADEQUATE,LOW,305,LOW,2,MODERATE
2025-12-01,MED028,Magnesium Sulfate,Emergency,CRITICAL,1687,994,1174,1867,32.06,3,144,2028-09-04,58.2345601996257,ADEQUATE,LOW,713,LOW,2,MODERATE
2025-12-01,MED029,Calcium Gluconate,Emergency,CRITICAL,1989,762,746,1973,24.58,2,73,2027-05-10,80.26851098454028,ADEQUATE,LOW,230,LOW,2,MODERATE
2025-12-01,MED030,Normal Saline,IV Fluid,CRITICAL,3303,1253,1218,3268,40.42,4,242,2028-01-09,80.85106382978724,ADEQUATE,LOW,474,LOW,2,MODERATE
